Name	Status	Manufacturer	Model	Serial Number	Ownership	End Date	Calibration Due	current location	history
Hire C22 1	O/C	Sigicom	C22	111122	Sigicom	16/07/2025	04/10/2024	25502 - Pembroke	['25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke']
	Beyond Repair	Sigicom	C22	105451	Moniteye		12/01/2025	Retired	['25501 - Longsight Mews', '25501 - Longsight Mews', '25501 - Longsight Mews', '25501 - Longsight Mews', '25388 - Vyrnwy Scheme - Substation', 'Out of Service - Water Damage - RPB', 'Out of Service - Water Damage - RPB', 'Out of Service - Water Damage - RPB', 'Out of Service - Water Damage - Sigicom', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired']
	Good	Sigicom	C22	105452	Moniteye		01/05/2027	25388 - Vyrnwy Scheme	['25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', '25356 - Astley Bridge, Bolton - 33 Greenwood Vale', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme', '25388 - Vyrnwy Scheme']
	Available	Sigicom	C22	106471	Moniteye	15/05/2025	19/11/2026	Available - RPB	['25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB']
	Good	Sigicom	C22	107759	Moniteye	???	01/02/2026	25388 - Vyrnwy Scheme - Rose Cottage	['25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage']
	O/C	Sigicom	C22	107760	Moniteye	16/07/2025	29/10/2023	25502 - Pembroke	['25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke']
	Good	Sigicom	C22	108597	Moniteye	???	01/02/2026	25388 - Vyrnwy Scheme - Yew Tree Farm	['25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm', '25388 - Vyrnwy Scheme - Yew Tree Farm']
	O/C	Sigicom	C22	110396	Moniteye	???	06/09/2024	25388 - Vyrnwy Scheme - Walkman's Lodge	["25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge", "25388 - Vyrnwy Scheme - Walkman's Lodge"]
	Good	Sigicom	D10	111016	Moniteye	09/08/2026		25543 - 7 Bramerton Street	['Sigicom Instructed to Repair', 'Sigicom Instructed to Repair', 'Available - RPB', 'Available - RPB', 'Available - RPB', '25486 - Briarlands Close - Bramhall Methodist Church', 'Available - AN', 'Available - AN', 'Available - AN', 'Available - AN', 'Available - AN', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street']
	MIA	Sigicom	D10	108428	Moniteye			Stolen from Site - 20/05/2024	['Stolen from Site - 20/05/2036', '25315 - Leighton Street, Atherton', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024', 'Stolen from Site - 20/05/2024']
	Good	Sigicom	C22	111643	Moniteye	11/06/2025	07/07/2025	25388 - Vyrnwy Scheme - Green Hedges	['Available - RPB', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges', '25388 - Vyrnwy Scheme - Green Hedges']
	Good	Sigicom	C22	112567	Moniteye	???	19/09/2025	25388 - Vyrnwy Scheme - Rose Cottage	['25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage', '25388 - Vyrnwy Scheme - Rose Cottage']
	O/C	Sigicom	C22	111391	Moniteye	???	19/04/2025	25465 - 217 Nuttall Lane, Ramsbottom. Bury	['25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury', '25465 - 217 Nuttall Lane, Ramsbottom. Bury']
	O/C	Sigicom	C22	113147	Moniteye	16/07/2025	19/04/2025	25502 - Pembroke	['25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke', '25502 - Pembroke']
	Good	Sigicom	C22	113574	Moniteye	11/06/2025	18/08/2025	25388 - Vyrnwy Scheme - Substation	['25501 - Longsight Mews', '25501 - Longsight Mews', '25501 - Longsight Mews', '25501 - Longsight Mews', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation', '25388 - Vyrnwy Scheme - Substation']
	Good	Sigicom	C22	114484	Moniteye	???	27/02/2026	25453 - 17 Lower Nuttall Road, Ramsbottom, Bury	['25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury', '25453 - 17 Lower Nuttall Road, Ramsbottom, Bury']
	Good	Davis	Vantage Pro 2	Unknown	Unknown	???	Unknown	25373 - Coleham Pumping Station, Shrewsbury.	['25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.', '25373 - Coleham Pumping Station, Shrewsbury.']
Hire D10 1	Returned	Sigicom	D10	106175	Sigicom			Returned to Sigicom 18/03/2025 by RPB	['25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB']
	Beyond Repair	Sigicom	S50	14887	Moniteye		29/09/2024	Retired	['25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'With Sigicom for Calibration', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired']
	Good	Sigicom	S50	13477	Moniteye	09/08/2026	14/10/2026	25543 - 7 Bramerton Street	['25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25321 - Candelan Way, High Legh', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street']
